Timestamp,Sweep_ID,Freq(Hz),Imp_AVG(Ohm),Fase_AVG(°),Real_AVG(Ohm),Imag_AVG(Ohm),Mag_AVG
2026-09-24 16:41:51.137,27,10000,4501.4,-0.17,4501.380186104404,-13.355903065033386,4501.4
2026-09-24 16:41:51.137,27,11000,4501.4,-0.17,4501.380186104404,-13.355903065033386,4501.4
2026-09-24 16:41:51.137,27,12000,4487.01,1.29,4485.87278428726,101.01536165781836,4487.01
2026-09-24 16:41:51.256,27,13000,4502.15,-0.21,4502.119759929224,-16.50120464768655,4502.15
2026-09-24 16:41:51.257,27,14000,4380.79,-0.43,4380.666629294763,-32.877151386033134,4380.79
2026-09-24 16:41:51.257,27,15000,4382.61,-0.51,4382.436381879847,-39.00988177202971,4382.61
2026-09-24 16:41:51.257,27,16000,4382.61,-0.51,4382.436381879847,-39.00988177202971,4382.61
2026-09-24 16:41:51.257,27,17000,4362.24,0.99,4361.588830756663,75.37034575164729,4362.24
2026-09-24 16:41:51.364,27,18000,4384.85,-0.58,4384.62533689372,-44.38668234549005,4384.85
2026-09-24 16:41:51.364,27,19000,4358.99,1.06,4358.244049592364,80.63885101334462,4358.99
2026-09-24 16:41:51.364,27,20000,4387.67,-0.67,4387.370012366133,-51.306953626229564,4387.67
2026-09-24 16:41:51.365,27,21000,4387.67,-0.67,4387.370012366133,-51.306953626229564,4387.67
2026-09-24 16:41:51.473,27,22000,4361.79,0.78,4361.385822633274,59.37769137879807,4361.79
2026-09-24 16:41:51.473,27,23000,4498.77,-0.39,4498.665781200277,-30.62191956275778,4498.77
2026-09-24 16:41:51.474,27,24000,4469.63,1.01,4468.935571055592,78.78577697803573,4469.63
2026-09-24 16:41:51.474,27,25000,4393.7,-0.82,4393.250038421581,-62.879169116454335,4393.7
2026-09-24 16:41:51.474,27,26000,4393.7,-0.82,4393.250038421581,-62.879169116454335,4393.7
2026-09-24 16:41:51.474,27,27000,4361.86,0.6,4361.620836448653,45.67645626528787,4361.86
2026-09-24 16:41:51.581,27,28000,4397.02,-0.89,4396.48953777653,-68.29805723091951,4397.02
2026-09-24 16:41:51.581,27,29000,4360.0,0.62,4359.744735530021,47.17881959385423,4360.0
2026-09-24 16:41:51.582,27,30000,4400.82,-0.95,4400.215083255645,-72.96501551778302,4400.82
2026-09-24 16:41:51.582,27,31000,4512.19,-0.47,4512.0381882457405,-37.01329372124054,4512.19
2026-09-24 16:41:51.582,27,32000,4473.27,0.92,4472.693344849428,71.8243401615244,4473.27
2026-09-24 16:41:51.813,27,33000,4401.67,-1.05,4400.930890706914,-80.6603007782838,4401.67
2026-09-24 16:41:51.813,27,34000,4359.61,0.37,4359.51909781582,28.152937309225848,4359.61
2026-09-24 16:41:51.814,27,35000,4405.88,-1.11,4405.053220350693,-85.35045564021017,4405.88
2026-09-24 16:41:51.814,27,36000,4405.88,-1.11,4405.053220350693,-85.35045564021017,4405.88
2026-09-24 16:41:51.814,27,37000,4458.03,0.83,4457.5622472858295,64.57780169769177,4458.03
2026-09-24 16:41:51.814,27,38000,4507.76,-0.62,4507.496084640552,-48.77770546155788,4507.76
2026-09-24 16:41:51.815,27,39000,4364.92,-0.43,4364.797076221708,-32.75804949059958,4364.92
2026-09-24 16:41:51.815,27,40000,4364.92,-0.43,4364.797076221708,-32.75804949059958,4364.92
2026-09-24 16:41:51.815,27,41000,4397.75,-1.33,4396.565216335926,-102.07527127088201,4397.75
2026-09-24 16:41:51.815,27,42000,4348.98,0.02,4348.979735044989,1.5180803712387443,4348.98
2026-09-24 16:41:51.815,27,43000,4506.47,-0.72,4506.114188073171,-56.62848175313202,4506.47
2026-09-24 16:41:51.921,27,44000,4346.89,-0.07,4346.886755861285,-5.310726669386697,4346.89
2026-09-24 16:41:51.922,27,45000,4346.89,-0.07,4346.886755861285,-5.310726669386697,4346.89
2026-09-24 16:41:51.922,27,46000,4406.09,-1.48,4404.620135211992,-113.80049466100095,4406.09
2026-09-24 16:41:51.922,27,47000,4454.57,0.57,4454.34956697682,44.31500957252325,4454.57
2026-09-24 16:41:51.922,27,48000,4454.57,0.57,4454.34956697682,44.31500957252325,4454.57
2026-09-24 16:41:51.922,27,49000,4471.03,-1.1,4470.206043367235,-85.83234089228449,4471.03
2026-09-24 16:41:52.030,27,50000,4407.62,0.28,4407.567368701739,21.539608994407644,4407.62
2026-09-24 16:41:52.030,27,51000,4407.62,0.28,4407.567368701739,21.539608994407644,4407.62
2026-09-24 16:41:52.031,27,52000,4574.25,-0.35,4574.164654746155,-27.942329376560494,4574.25
2026-09-24 16:41:52.031,27,53000,4510.97,0.89,4510.425790700018,70.06802043815152,4510.97
2026-09-24 16:41:52.031,27,54000,4413.05,0.07,4413.046706485245,5.391556337596986,4413.05
2026-09-24 16:41:52.139,27,55000,4416.87,-0.0,4416.87,-0.0,4416.87
2026-09-24 16:41:52.139,27,56000,4456.79,0.36,4456.702026781023,28.002653194263473,4456.79
2026-09-24 16:41:52.139,27,57000,4456.79,0.36,4456.702026781023,28.002653194263473,4456.79
2026-09-24 16:41:52.140,27,58000,4356.29,-0.56,4356.081927771082,-42.57702016550657,4356.29
2026-09-24 16:41:52.140,27,59000,4356.29,-0.56,4356.081927771082,-42.57702016550657,4356.29
2026-09-24 16:41:52.140,27,60000,4444.59,0.3,4444.52907465999,23.27171248548915,4444.59
2026-09-24 16:41:52.248,27,61000,4456.84,0.09,4456.834501595171,7.000785022154294,4456.84
2026-09-24 16:41:52.248,27,62000,4362.47,-0.89,4361.943705933559,-67.76139879467672,4362.47
2026-09-24 16:41:52.248,27,63000,4362.47,-0.89,4361.943705933559,-67.76139879467672,4362.47
2026-09-24 16:41:52.248,27,64000,4523.06,-0.98,4522.398395193253,-77.35967136363786,4523.06
2026-09-24 16:41:52.249,27,65000,4447.85,0.17,4447.830421816429,13.19701724970204,4447.85
2026-09-24 16:41:52.249,27,66000,4364.26,-0.76,4363.876066354987,-57.88803930108286,4364.26
2026-09-24 16:41:52.367,27,67000,4452.75,0.23,4452.714123659215,17.87443609603432,4452.75
2026-09-24 16:41:52.367,27,68000,4458.93,0.14,4458.916688982657,10.895210504580577,4458.93
2026-09-24 16:41:52.367,27,69000,4370.99,-0.92,4370.42652989947,-70.1820977948171,4370.99
2026-09-24 16:41:52.367,27,70000,4370.99,-0.92,4370.42652989947,-70.1820977948171,4370.99
2026-09-24 16:41:52.368,27,71000,4449.42,0.02,4449.4197289258345,1.5531405445408106,4449.42
2026-09-24 16:41:52.368,27,72000,4449.42,0.02,4449.4197289258345,1.5531405445408106,4449.42
2026-09-24 16:41:52.490,27,73000,4367.23,-1.05,4366.496673722009,-80.029190141002,4367.23
2026-09-24 16:41:52.491,27,74000,4370.59,1.0,4369.924337973573,76.27731305072695,4370.59
2026-09-24 16:41:52.491,27,75000,4455.97,-0.08,4455.965656429237,-6.221705808017578,4455.97
2026-09-24 16:41:52.491,27,76000,4375.6,-1.2,4374.640358612534,-91.63565244161671,4375.6
2026-09-24 16:41:52.491,27,77000,4452.01,-0.13,4451.998540454614,-10.101281601159936,4452.01
2026-09-24 16:41:52.491,27,78000,4368.42,0.85,4367.939294587022,64.80443813991569,4368.42
2026-09-24 16:41:52.600,27,79000,4361.13,-1.52,4359.595434334699,-115.68286747849498,4361.13
2026-09-24 16:41:52.600,27,80000,4435.33,-0.4,4435.221914136559,-30.96419323735781,4435.33
2026-09-24 16:41:52.600,27,81000,4435.33,-0.4,4435.221914136559,-30.96419323735781,4435.33
2026-09-24 16:41:52.601,27,82000,4272.21,-0.61,4271.9678787543535,-45.483260558467755,4272.21
2026-09-24 16:41:52.601,27,83000,4447.62,-0.2,4447.592903576941,-15.525091047377375,4447.62
2026-09-24 16:41:52.601,27,84000,4447.62,-0.2,4447.592903576941,-15.525091047377375,4447.62
2026-09-24 16:41:52.709,27,85000,4376.31,-1.42,4374.966037111515,-108.4499433875832,4376.31
2026-09-24 16:41:52.709,27,86000,4349.71,0.67,4349.412607714137,50.863070663369626,4349.71
2026-09-24 16:41:52.709,27,87000,4449.37,-0.28,4449.3168701658615,-21.74363717186317,4449.37
2026-09-24 16:41:52.709,27,88000,4378.89,-1.58,4377.225148785044,-120.73785215810027,4378.89
2026-09-24 16:41:52.710,27,89000,4444.14,-0.39,4444.037046762425,-30.250067819789486,4444.14
2026-09-24 16:41:52.710,27,90000,4290.57,0.97,4289.9551448331595,72.63456628563382,4290.57
2026-09-24 16:41:52.817,27,91000,4221.79,-0.41,4221.681909574462,-30.21023786265808,4221.79
2026-09-24 16:41:52.817,27,92000,4385.59,-0.03,4385.589398832814,-2.296289449352675,4385.59
2026-09-24 16:41:52.818,27,93000,4385.59,-0.03,4385.589398832814,-2.296289449352675,4385.59
2026-09-24 16:41:52.818,27,94000,4385.27,-0.03,4385.26939887668,-2.296121897752139,4385.27
2026-09-24 16:41:52.818,27,95000,4287.15,0.73,4286.802036841921,54.62068681327815,4287.15
2026-09-24 16:41:52.818,27,96000,4287.15,0.73,4286.802036841921,54.62068681327815,4287.15
2026-09-24 16:41:52.927,27,97000,4452.0,-0.65,4451.713514958545,-50.50525453299751,4452.0
2026-09-24 16:41:52.927,27,98000,4452.0,-0.65,4451.713514958545,-50.50525453299751,4452.0
2026-09-24 16:41:52.928,27,99000,4452.0,-0.65,4451.713514958545,-50.50525453299751,4452.0
2026-09-24 16:41:52.928,27,100000,4349.04,0.06,4349.0376153722,4.5543032056638895,4349.04
