Timestamp,Freq(Hz),Imp_AVG(Ohm),Fase_AVG(°),Real_AVG(Ohm),Imag_AVG(Ohm),Mag_AVG
2026-05-19 14:24:47.819,14500,979.0,0.0,979.0,0.0,8971.41
2026-05-19 14:24:47.932,14750,955.893,0.61747838431,955.763,10.234,9043.028
2026-05-19 14:24:47.933,15000,952.093,1.125504997653,951.909,18.701,9078.838
2026-05-19 14:24:48.045,15250,973.954,-0.13927734975,973.945,-2.343,8985.244
2026-05-19 14:24:48.150,15500,979.0,0.0,979.0,0.0,8938.448
2026-05-19 14:24:48.262,15750,950.221,-0.210960119579,950.144,-3.567,8976.334
2026-05-19 14:24:48.373,16000,962.894,-0.489113536945,962.842,-8.151,8977.649
2026-05-19 14:24:48.483,16250,954.79,-0.759016820001,954.706,-12.648,8828.731
2026-05-19 14:24:48.597,16500,979.0,0.0,979.0,0.0,8828.731
2026-05-19 14:24:48.708,16750,955.291,-0.778640438833,955.203,-12.982,8920.457
2026-05-19 14:24:48.709,17000,979.0,0.0,979.0,0.0,8704.426
2026-05-19 14:24:48.819,17250,953.338,-0.872532988888,953.228,-14.517,8704.426
2026-05-19 14:24:48.932,17500,948.589,-0.377214031825,948.498,-6.327,8748.442
2026-05-19 14:24:49.044,17750,970.703,-0.299349646502,970.664,-4.985,8686.698
2026-05-19 14:24:49.156,18000,979.0,0.0,979.0,0.0,8611.81
2026-05-19 14:24:49.157,18250,970.444,-0.320228920055,970.399,-5.328,8461.276
2026-05-19 14:24:49.267,18500,964.893,0.175085271297,964.741,2.99,8509.64
2026-05-19 14:24:49.373,18750,979.0,0.0,979.0,0.0,8531.103
2026-05-19 14:24:49.484,19000,954.571,-1.003388467307,954.424,-16.716,8531.103
2026-05-19 14:24:49.484,19250,979.0,0.0,979.0,0.0,8318.223
2026-05-19 14:24:49.595,19500,942.82,-0.147243844523,942.755,-2.512,8416.397
2026-05-19 14:24:49.707,19750,945.221,0.67826548699,945.115,11.289,8395.614
2026-05-19 14:24:49.820,20000,979.0,0.0,979.0,0.0,8255.872
2026-05-19 14:24:49.820,20250,979.0,0.0,979.0,0.0,8255.872
2026-05-19 14:24:49.932,20500,963.17,-0.739506056239,963.05,-12.329,8189.124
2026-05-19 14:24:50.047,20750,972.859,0.44050381119,972.774,7.385,8107.123
2026-05-19 14:24:50.047,21000,946.849,0.659380146222,946.753,10.972,8154.716
2026-05-19 14:24:50.160,21250,979.0,0.0,979.0,0.0,8043.919
2026-05-19 14:24:50.271,21500,979.0,0.0,979.0,0.0,8043.919
2026-05-19 14:24:50.272,21750,963.803,-0.802885041036,963.662,-13.398,7981.487
2026-05-19 14:24:50.382,22000,971.93,0.448280306285,971.842,7.493,7914.613
2026-05-19 14:24:50.492,22250,957.791,1.344840918854,957.527,22.479,8030.595
2026-05-19 14:24:50.493,22500,979.0,0.0,979.0,0.0,7842.522
2026-05-19 14:24:50.602,22750,979.0,0.0,979.0,0.0,7842.522
2026-05-19 14:24:50.603,23000,963.716,-0.927829161081,963.528,-15.481,7781.302
2026-05-19 14:24:50.712,23250,979.0,0.0,979.0,0.0,7658.862
2026-05-19 14:24:50.822,23500,958.534,-1.300566439113,958.287,-21.756,7658.862
2026-05-19 14:24:50.822,23750,979.0,0.0,979.0,0.0,7498.755
2026-05-19 14:24:50.933,24000,971.163,0.413184972679,971.089,6.89,7560.258
2026-05-19 14:24:51.043,24250,947.478,0.733952327589,947.328,12.256,7571.557
2026-05-19 14:24:51.044,24500,979.0,0.0,979.0,0.0,7515.704
2026-05-19 14:24:51.154,24750,1522.939,-16.713682183264,1458.601,-437.981,7515.704
2026-05-19 14:24:51.154,25000,1542.126,-16.392613173073,1479.439,-435.215,7360.845
2026-05-19 14:24:51.267,25250,1067.869,-5.826152878019,1062.353,-108.4,7360.845
2026-05-19 14:24:51.268,25500,965.302,-1.064051009161,965.055,-17.797,7309.351
2026-05-19 14:24:51.378,25750,1418.075,-9.188497132725,1399.879,-226.442,7206.363
2026-05-19 14:24:51.489,26000,1533.085,-15.366280685948,1478.279,-406.25,7206.363
2026-05-19 14:24:51.489,26250,979.0,0.0,979.0,0.0,7078.333
2026-05-19 14:24:51.600,26500,37.81,-79.493938458838,6.898,-37.171,7031.286
2026-05-19 14:24:51.600,26750,38.319,-78.362496472059,7.73,-37.531,6937.194
2026-05-19 14:24:51.711,27000,38.319,-78.362496472059,7.73,-37.531,6937.194
2026-05-19 14:24:51.711,27250,38.319,-78.362496472059,7.73,-37.531,6937.194
2026-05-19 14:24:51.822,27500,39.066,-76.62515446051,9.037,-38.007,6804.488
2026-05-19 14:24:51.822,27750,39.066,-76.62515446051,9.037,-38.007,6804.488
2026-05-19 14:24:51.932,28000,39.852,-74.701199373016,10.515,-38.44,6670.342
2026-05-19 14:24:51.933,28250,39.852,-74.701199373016,10.515,-38.44,6670.342
2026-05-19 14:24:52.044,28500,39.852,-74.701199373016,10.515,-38.44,6670.342
2026-05-19 14:24:52.045,28750,40.54,-72.917258775115,11.909,-38.752,6557.083
2026-05-19 14:24:52.147,29000,40.54,-72.917258775115,11.909,-38.752,6557.083
2026-05-19 14:24:52.258,29250,41.278,-70.880669943164,13.52,-39.001,6439.888
2026-05-19 14:24:52.258,29500,41.278,-70.880669943164,13.52,-39.001,6439.888
2026-05-19 14:24:52.370,29750,41.278,-70.880669943164,13.52,-39.001,6439.888
2026-05-19 14:24:52.371,30000,41.998,-68.738226104302,15.23,-39.139,6329.513
2026-05-19 14:24:52.371,30250,41.998,-68.738226104302,15.23,-39.139,6329.513
2026-05-19 14:24:52.482,30500,42.66,-66.591391924142,16.948,-39.149,6231.235
2026-05-19 14:24:52.482,30750,42.66,-66.591391924142,16.948,-39.149,6231.235
2026-05-19 14:24:52.595,31000,42.66,-66.591391924142,16.948,-39.149,6231.235
